,Unnamed: 0,Rating,Founded
0,0,3.0,1961
1,1,3.0,1893
2,2,3.0,2003
3,3,4.0,2002
4,4,3.0,2009
5,5,3.0,2014
6,6,4.0,2001
7,7,3.0,1914
8,8,4.0,1896
9,9,4.0,2013
10,10,4.0,1841
11,11,-1.0,-1
12,12,3.0,1884
13,13,3.0,2004
14,14,3.0,2016
15,15,3.0,-1
16,16,3.0,2001
17,17,3.0,1996
18,18,3.0,1958
19,19,4.0,2006
20,20,4.0,1998
21,21,-1.0,-1
22,22,3.0,1969
23,23,3.0,-1
24,24,3.0,-1
25,25,4.0,-1
26,26,5.0,2011
27,27,4.0,2017
28,28,3.0,-1
29,29,4.0,-1
30,30,3.0,2005
31,31,3.0,-1
32,32,3.0,-1
33,33,3.0,2011
34,34,-1.0,-1
35,35,3.0,1904
36,36,-1.0,2018
37,37,3.0,-1
38,38,4.0,1841
39,39,4.0,-1
40,40,-1.0,-1
41,41,-1.0,-1
42,42,5.0,2016
43,43,4.0,-1
44,44,3.0,2013
45,45,2.0,1956
46,46,4.0,-1
47,47,3.0,2007
48,48,4.0,1990
49,49,3.0,2002
50,50,4.0,1923
51,51,3.0,1990
52,52,3.0,1990
53,53,3.0,2015
54,54,3.0,1969
55,55,-1.0,-1
56,56,4.0,1923
57,57,3.0,1951
58,58,3.0,1981
59,59,3.0,2000
60,60,4.0,2017
61,61,3.0,1998
62,62,3.0,1998
63,63,3.0,1998
64,64,4.0,1966
65,65,3.0,2005
66,66,3.0,-1
67,67,3.0,1939
68,68,-1.0,-1
69,69,3.0,2002
70,70,3.0,1999
71,71,-1.0,-1
72,72,3.0,-1
73,73,3.0,1812
74,74,3.0,-1
75,75,4.0,1945
76,76,3.0,1985
77,77,3.0,-1
78,78,5.0,-1
79,79,4.0,-1
80,80,4.0,-1
81,81,5.0,-1
82,82,3.0,2003
83,83,4.0,1984
84,84,4.0,-1
85,85,-1.0,-1
86,86,1.0,-1
87,87,3.0,2011
88,88,4.0,2004
89,89,3.0,2007
90,90,-1.0,-1
91,91,3.0,1962
92,92,4.0,1996
93,93,4.0,2011
94,94,3.0,1995
95,95,3.0,-1
96,96,-1.0,-1
97,97,3.0,-1
98,98,4.0,2017
99,99,2.0,-1
100,100,3.0,2012
101,101,4.0,2011
102,102,3.0,1967
103,103,3.0,1799
104,104,3.0,-1
105,105,4.0,-1
106,106,5.0,-1
107,107,4.0,2004
108,108,-1.0,-1
109,109,-1.0,-1
110,110,3.0,-1
111,111,3.0,1918
112,112,3.0,1948
113,113,2.0,1994
114,114,5.0,2014
115,115,3.0,1967
116,116,3.0,1895
117,117,3.0,2004
118,118,-1.0,2018
119,119,3.0,-1
120,120,3.0,-1
121,121,3.0,1845
122,122,3.0,1968
123,123,4.0,-1
124,124,5.0,2008
125,125,3.0,1911
126,126,4.0,1997
127,127,3.0,1995
128,128,2.0,2015
129,129,3.0,1832
130,130,3.0,2009
131,131,3.0,-1
132,132,3.0,-1
133,133,4.0,2004
134,134,4.0,-1
135,135,2.0,1934
136,136,4.0,1998
137,137,4.0,-1
138,138,3.0,1990
139,139,3.0,-1
140,140,2.0,-1
141,141,3.0,1938
142,142,4.0,2008
143,143,3.0,2002
144,144,4.0,1963
145,145,-1.0,1996
146,146,5.0,-1
147,147,3.0,1994
148,148,3.0,-1
149,149,2.0,-1
150,150,4.0,1841
151,151,3.0,2013
152,152,3.0,2013
153,153,-1.0,-1
154,154,3.0,1992
155,155,3.0,-1
156,156,3.0,1977
157,157,-1.0,-1
158,158,3.0,2013
159,159,3.0,2009
160,160,3.0,-1
161,161,3.0,2000
162,162,-1.0,-1
163,163,3.0,2015
164,164,3.0,1992
165,165,4.0,1998
166,166,2.0,2015
167,167,-1.0,-1
168,168,3.0,1984
169,169,2.0,1886
170,170,4.0,-1
171,171,3.0,2002
172,172,2.0,-1
173,173,3.0,1862
174,174,-1.0,-1
175,175,3.0,1999
176,176,3.0,2008
177,177,3.0,1906
178,178,3.0,2015
179,179,-1.0,-1
180,180,3.0,1998
181,181,4.0,-1
182,182,4.0,2012
183,183,4.0,2004
184,184,3.0,1997
185,185,3.0,2011
186,186,-1.0,-1
187,187,3.0,1981
188,188,3.0,1812
189,189,3.0,-1
190,190,3.0,1969
191,191,3.0,1862
192,192,3.0,1993
193,193,3.0,2011
194,194,-1.0,-1
195,195,3.0,1935
196,196,4.0,2003
197,197,3.0,-1
198,198,3.0,1990
199,199,4.0,-1
200,200,3.0,1884
201,201,3.0,-1
202,202,3.0,-1
203,203,3.0,1971
204,204,-1.0,1996
205,205,-1.0,-1
206,206,5.0,-1
207,207,3.0,2018
208,208,3.0,-1
209,209,3.0,1989
210,210,1.0,-1
211,211,5.0,2008
212,212,5.0,2012
213,213,3.0,1981
214,214,4.0,-1
215,215,3.0,1966
216,216,-1.0,-1
217,217,3.0,1968
218,218,3.0,1812
219,219,4.0,1923
220,220,3.0,1967
221,221,3.0,1969
222,222,-1.0,-1
223,223,3.0,-1
224,224,3.0,1999
225,225,4.0,-1
226,226,4.0,1981
227,227,-1.0,-1
228,228,2.0,1859
229,229,3.0,1996
230,230,4.0,1990
231,231,4.0,2011
232,232,4.0,1984
233,233,3.0,1985
234,234,2.0,1997
235,235,3.0,2008
236,236,-1.0,-1
237,237,3.0,1946
238,238,5.0,-1
239,239,3.0,1799
240,240,3.0,1967
241,241,3.0,1984
242,242,3.0,-1
243,243,3.0,1818
244,244,3.0,-1
245,245,3.0,1946
246,246,3.0,1932
247,247,-1.0,-1
248,248,3.0,1938
249,249,4.0,1923
250,250,3.0,2002
251,251,3.0,1967
252,252,4.0,2018
253,253,-1.0,-1
254,254,3.0,1998
255,255,-1.0,-1
256,256,3.0,1784
257,257,2.0,1956
258,258,2.0,-1
259,259,-1.0,-1
260,260,4.0,-1
261,261,3.0,-1
262,262,3.0,1996
263,263,3.0,-1
264,264,4.0,2008
265,265,4.0,-1
266,266,2.0,-1
267,267,-1.0,-1
268,268,3.0,2002
269,269,4.0,2012
270,270,3.0,1896
271,271,5.0,-1
272,272,-1.0,-1
273,273,3.0,2000
274,274,3.0,2002
275,275,3.0,-1
276,276,-1.0,-1
277,277,4.0,1997
278,278,4.0,2011
279,279,-1.0,-1
280,280,3.0,1998
281,281,3.0,-1
282,282,3.0,1985
283,283,3.0,1993
284,284,-1.0,-1
285,285,3.0,2002
286,286,4.0,1998
287,287,3.0,1784
288,288,3.0,1856
289,289,-1.0,-1
290,290,3.0,1977
291,291,-1.0,-1
292,292,3.0,1989
293,293,4.0,2008
294,294,4.0,2004
295,295,3.0,1989
296,296,4.0,1966
297,297,3.0,1978
298,298,3.0,1996
299,299,3.0,1946
300,300,3.0,1812
301,301,-1.0,-1
302,302,3.0,1799
303,303,4.0,1984
304,304,3.0,1912
305,305,4.0,1998
